"","id_turma","discente","media_final","descricao","letivo","nome_docente","qtd_discentes","postura_profissional_media","postura_profissional_DP","atuacao_profissional_media","atuacao_profissional_DP","autoavaliacao_aluno_media","autoavaliacao_aluno_DP"
"13970",57585791,"9de5a45b273eed9e848cf6f2f9340909","4,4","REPROVADO POR MÉDIA E POR FALTAS",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
"13977",57585791,"fbee8cb4edf5b29ae8dc2ff46d33361a","0,2","REPROVADO POR MÉDIA E POR FALTAS",20162,"JOAO PAULO MATOS SANTOS LIMA",16,9.93,0.27,9.86,0.52,7.71,3.35
"13978",57585791,"fbee8cb4edf5b29ae8dc2ff46d33361a","0,2","REPROVADO POR MÉDIA E POR FALTAS",20162,"EUZEBIO GUIMARAES BARBOSA",16,10,0,9.88,0.33,7.88,3.38
"13979",57585791,"fbee8cb4edf5b29ae8dc2ff46d33361a","0,2","REPROVADO POR MÉDIA E POR FALTAS",20162,"RODRIGO JULIANI SIQUEIRA DALMOLIN",16,9.93,0.27,9.52,1.08,7.5,3.55
"14148",57586744,"5a5d94d46b85d1bec85b6a0b0a0b826b","6,6","APROVADO POR NOTA",20162,"JOAO MARCOS DE ALMEIDA",13,10,0,9.68,0.94,8.2,3.08
"14149",57586744,"5a5d94d46b85d1bec85b6a0b0a0b826b","6,6","APROVADO POR NOTA",20162,"UMBERTO RIVIECCIO",13,9.79,0.58,9.36,1.77,8.04,3.32
"14154",57586744,"290f0b6d3d787b505e16ee47aad36eae","8,5","APROVADO",20162,"JOAO MARCOS DE ALMEIDA",13,10,0,9.68,0.94,8.2,3.08
"14155",57586744,"290f0b6d3d787b505e16ee47aad36eae","8,5","APROVADO",20162,"UMBERTO RIVIECCIO",13,9.79,0.58,9.36,1.77,8.04,3.32
"14160",57586744,"a9d5358e13241d1fc953196fa2983412","5,3","APROVADO POR NOTA",20162,"JOAO MARCOS DE ALMEIDA",13,10,0,9.68,0.94,8.2,3.08
"14161",57586744,"a9d5358e13241d1fc953196fa2983412","5,3","APROVADO POR NOTA",20162,"UMBERTO RIVIECCIO",13,9.79,0.58,9.36,1.77,8.04,3.32
"14166",57586744,"d2ebea0c1ebded5adcf2e6eb2d919b9a","9,4","APROVADO",20162,"JOAO MARCOS DE ALMEIDA",13,10,0,9.68,0.94,8.2,3.08
"14167",57586744,"d2ebea0c1ebded5adcf2e6eb2d919b9a","9,4","APROVADO",20162,"UMBERTO RIVIECCIO",13,9.79,0.58,9.36,1.77,8.04,3.32
"14196",57586831,"e8276e72614c5828286b43d50704d1a0","0","REPROVADO POR MÉDIA E POR FALTAS",20162,"DIOMADSON RODRIGUES BELFORT",8,10,0,9.25,0.46,7,1.41
"14199",57586369,"23c3e6fe2285999433491924f662c872","2,1","REPROVADO",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",11,9.67,0.65,9.58,1.16,8.17,2.39
"14202",57586369,"01520db6ce2ca85f5b119463328ccb93","5,2","APROVADO POR NOTA",20162,"EVERTON RANIELLY DE SOUSA CAVALCANTE",11,9.67,0.65,9.58,1.16,8.17,2.39
